day,hour,roomTemperature,roomHumidity,roomHumidex,roomHeatIndex,outTemperature,outHumidity,outHumidex,outHeatIndex,personCount,humidexTarget,conditionerState
27/07/2020,17:14,26.9,40.4,29.33,26.81,31.19,45.0,37.36,31.98,1.0,28.25,0.0
27/07/2020,17:16,27.1,40.6,29.66,26.97,31.19,45.0,37.08,31.98,1.0,28.25,0.0
27/07/2020,17:18,27.2,41.1,29.91,27.07,31.19,45.0,37.08,31.98,1.0,28.25,1.0
27/07/2020,17:20,27.2,41.1,29.91,27.07,31.19,45.0,37.08,31.98,1.0,28.25,1.0
27/07/2020,17:22,27.1,39.8,29.5,26.93,31.19,45.0,37.08,31.98,1.0,28.25,1.0
27/07/2020,17:24,26.6,39.7,28.75,26.57,31.24,45.0,37.08,32.05,1.0,28.25,1.0
27/07/2020,17:26,26.1,39.5,27.98,25.8,31.24,45.0,37.16,32.05,1.0,28.25,1.0
27/07/2020,17:28,26.0,39.4,27.82,25.68,31.24,45.0,37.16,32.05,1.0,28.25,1.0
27/07/2020,17:30,26.0,39.4,27.82,25.68,31.24,45.0,37.16,32.05,1.0,28.25,1.0
27/07/2020,17:32,25.8,38.9,27.44,25.45,31.24,45.0,37.16,32.05,1.0,28.25,1.0
27/07/2020,17:34,25.5,38.6,26.96,25.11,31.33,48.0,37.16,32.76,1.0,28.25,1.0
27/07/2020,17:36,25.6,39.1,27.19,25.24,31.33,48.0,38.09,32.76,1.0,28.25,0.0
27/07/2020,17:38,25.6,39.1,27.19,25.24,31.33,48.0,38.09,32.76,1.0,28.25,0.0
27/07/2020,17:40,25.9,39.9,27.77,25.59,31.33,48.0,38.09,32.76,1.0,28.25,0.0
27/07/2020,17:42,26.4,40.1,28.53,26.45,31.33,48.0,38.09,32.76,1.0,28.25,0.0
27/07/2020,17:44,26.9,41.1,29.47,26.84,31.33,48.0,38.09,32.76,1.0,28.25,0.0
27/07/2020,17:46,26.9,41.1,29.47,26.84,30.82,48.0,38.09,31.95,1.0,28.25,0.0
27/07/2020,17:48,27.1,40.9,29.72,26.98,30.82,48.0,37.23,31.95,1.0,28.25,1.0
27/07/2020,17:50,27.2,40.8,29.85,27.05,30.82,48.0,37.23,31.95,1.0,28.25,1.0
27/07/2020,17:52,27.1,40.7,29.68,26.97,30.82,48.0,37.23,31.95,1.0,28.25,1.0
27/07/2020,17:54,26.2,40.1,28.24,25.92,30.82,48.0,37.23,31.95,1.0,28.25,1.0
27/07/2020,17:56,26.0,39.8,27.9,25.69,30.9,48.0,37.23,32.08,1.0,28.25,1.0
27/07/2020,17:58,26.0,39.8,27.9,25.69,30.9,48.0,37.36,32.08,1.0,28.25,1.0
27/07/2020,18:00,25.7,39.3,27.37,25.35,30.9,48.0,37.36,32.08,1.0,28.25,1.0
27/07/2020,18:02,25.7,39.3,27.37,25.35,30.9,48.0,37.36,32.08,1.0,28.25,1.0
27/07/2020,18:04,25.6,38.8,27.14,25.23,30.9,48.0,37.36,32.08,1.0,28.25,1.0
27/07/2020,18:06,25.5,38.6,26.96,25.11,30.9,48.0,37.36,32.08,1.0,28.25,0.0
27/07/2020,18:08,25.5,38.6,26.96,25.11,31.03,52.0,37.36,33.07,1.0,28.25,0.0
27/07/2020,18:10,25.7,39.8,27.46,25.36,31.03,52.0,38.61,33.07,1.0,28.25,0.0
27/07/2020,18:12,26.5,40.2,28.7,26.52,31.03,52.0,38.61,33.07,1.0,28.25,0.0
27/07/2020,18:14,26.5,40.2,28.7,26.52,31.03,52.0,38.61,33.07,1.0,28.25,0.0
27/07/2020,18:16,26.8,41.3,29.36,26.78,31.03,52.0,38.61,33.07,1.0,28.25,0.0
27/07/2020,18:18,27.1,40.7,29.68,26.97,31.03,52.0,38.61,33.07,1.0,28.25,1.0
27/07/2020,18:20,27.1,40.7,29.68,26.97,31.03,52.0,38.61,33.07,0.0,28.25,1.0
29/07/2020,14:54,29.9,47.6,35.59,30.55,32.03,58.0,42.03,36.55,1.0,28.0,1.0
29/07/2020,14:56,29.6,50.3,35.73,30.51,32.03,58.0,42.03,36.55,1.0,28.0,1.0
29/07/2020,14:58,29.6,50.3,35.73,30.51,32.03,58.0,42.03,36.55,1.0,28.0,1.0
29/07/2020,15:00,28.6,46.5,33.22,28.79,32.03,58.0,42.03,36.55,1.0,28.0,1.0
29/07/2020,15:02,28.3,45.6,32.54,28.38,32.09,52.0,42.03,35.03,1.0,28.0,1.0
29/07/2020,15:04,28.0,45.0,31.94,28.03,32.09,52.0,40.5,35.03,1.0,28.0,1.0
29/07/2020,15:06,28.0,44.3,31.79,27.98,32.09,52.0,40.5,35.03,1.0,28.0,1.0
29/07/2020,15:08,27.9,43.6,31.49,27.83,32.09,52.0,40.5,35.03,1.0,28.0,1.0
29/07/2020,15:10,27.8,43.3,31.27,27.71,32.09,52.0,40.5,35.03,1.0,28.0,1.0
29/07/2020,15:12,27.8,43.3,31.27,27.71,32.22,52.0,40.5,35.28,1.0,28.0,1.0
29/07/2020,15:14,27.6,42.5,30.8,27.48,32.22,52.0,40.73,35.28,1.0,28.0,1.0
29/07/2020,15:16,27.5,42.3,30.61,27.38,32.22,52.0,40.73,35.28,1.0,28.0,1.0
29/07/2020,15:18,27.5,41.9,30.52,27.36,32.22,52.0,40.73,35.28,1.0,28.0,1.0
29/07/2020,15:20,27.5,41.6,30.46,27.34,32.22,52.0,40.73,35.28,1.0,28.0,1.0
29/07/2020,15:22,27.4,41.7,30.33,27.26,32.17,52.0,40.73,35.19,1.0,28.0,1.0
29/07/2020,15:24,27.4,41.7,30.33,27.26,32.17,52.0,40.64,35.19,1.0,28.0,1.0
29/07/2020,15:26,27.3,40.9,30.02,27.14,32.17,52.0,40.64,35.19,1.0,28.0,1.0
29/07/2020,15:28,27.3,40.9,30.02,27.14,32.17,52.0,40.64,35.19,1.0,28.0,1.0
29/07/2020,15:30,27.3,40.9,30.02,27.14,32.17,52.0,40.64,35.19,1.0,28.0,1.0
29/07/2020,15:32,27.3,40.9,30.02,27.14,32.17,52.0,40.64,35.19,1.0,28.0,1.0
29/07/2020,15:34,27.2,40.5,29.79,27.04,32.16,55.0,40.64,35.97,1.0,28.0,1.0
29/07/2020,15:36,27.1,40.6,29.66,26.97,32.16,55.0,41.45,35.97,1.0,28.0,1.0
29/07/2020,15:38,27.1,40.6,29.66,26.97,32.16,55.0,41.45,35.97,1.0,28.0,1.0
29/07/2020,15:40,26.9,40.1,29.27,26.8,32.16,55.0,41.45,35.97,2.0,28.0,1.0
29/07/2020,15:42,26.9,40.6,29.37,26.82,32.16,55.0,41.45,35.97,1.0,28.0,1.0
29/07/2020,15:44,26.9,40.3,29.31,26.81,32.31,55.0,41.45,36.29,1.0,28.0,1.0
29/07/2020,15:46,26.9,40.3,29.31,26.81,32.31,55.0,41.73,36.29,1.0,28.0,1.0
29/07/2020,15:48,26.6,39.8,28.77,26.57,32.31,55.0,41.73,36.29,1.0,28.0,1.0
29/07/2020,15:50,26.6,39.9,28.79,26.58,32.31,55.0,41.73,36.29,1.0,28.0,1.0
29/07/2020,15:52,26.5,39.8,28.62,26.51,32.31,55.0,41.73,36.29,1.0,28.0,1.0
29/07/2020,15:54,26.5,39.8,28.62,26.51,32.31,55.0,41.73,36.29,1.0,28.0,1.0
29/07/2020,15:56,26.4,39.8,28.48,26.44,32.31,55.0,41.73,36.29,1.0,28.0,1.0
29/07/2020,15:58,26.4,39.4,28.4,26.43,32.31,55.0,41.73,36.29,2.0,28.0,1.0
29/07/2020,16:00,26.4,39.4,28.4,26.43,32.31,55.0,41.73,36.29,2.0,28.25,1.0
29/07/2020,16:02,26.4,40.1,28.53,26.45,32.31,55.0,41.73,36.29,2.0,28.25,1.0
29/07/2020,16:04,26.4,40.1,28.53,26.45,32.31,55.0,41.73,36.29,2.0,28.25,1.0
29/07/2020,16:06,26.3,39.6,28.29,26.02,32.63,52.0,41.73,36.11,2.0,28.25,1.0
29/07/2020,16:08,26.3,39.6,28.29,26.02,32.63,52.0,41.48,36.11,2.0,28.25,1.0
29/07/2020,16:10,26.3,39.7,28.31,26.02,32.63,52.0,41.48,36.11,2.0,28.25,1.0
29/07/2020,16:12,26.3,39.6,28.29,26.02,32.63,52.0,41.48,36.11,2.0,28.25,1.0
29/07/2020,16:14,26.2,39.3,28.09,25.9,32.63,52.0,41.48,36.11,2.0,28.25,1.0
29/07/2020,16:16,26.2,39.2,28.07,25.9,32.63,52.0,41.48,36.11,2.0,28.25,1.0
29/07/2020,16:18,26.1,39.3,27.95,25.79,32.42,52.0,41.48,35.68,2.0,28.25,1.0
29/07/2020,16:20,26.1,39.3,27.95,25.79,32.42,52.0,41.1,35.68,2.0,28.25,1.0
29/07/2020,16:22,26.1,39.5,27.98,25.8,32.42,52.0,41.1,35.68,2.0,28.25,1.0
29/07/2020,16:24,26.1,40.1,28.1,25.81,32.42,52.0,41.1,35.68,2.0,28.25,1.0
29/07/2020,16:26,26.1,39.3,27.95,25.79,32.42,52.0,41.1,35.68,2.0,28.25,1.0
29/07/2020,16:28,26.1,39.4,27.96,25.79,32.57,55.0,41.1,36.85,2.0,28.25,1.0
29/07/2020,16:30,26.1,39.4,27.96,25.79,32.57,55.0,42.22,36.85,2.0,28.25,1.0
29/07/2020,16:32,26.0,39.1,27.76,25.68,32.57,55.0,42.22,36.85,2.0,28.25,1.0
29/07/2020,16:34,26.1,38.9,27.87,25.78,32.57,55.0,42.22,36.85,2.0,28.25,1.0
29/07/2020,16:36,26.0,38.9,27.73,25.67,32.57,55.0,42.22,36.85,2.0,28.25,1.0
29/07/2020,16:38,26.0,38.9,27.73,25.67,32.57,55.0,42.22,36.85,2.0,28.25,1.0
