day,hour,roomTemperature,roomHumidity,roomHeatIndex,outTemperature,outHumidity,outHeatIndex
10/07/2020,20:28,30.5,44.4,30.9,30.25,45.0,30.65
10/07/2020,20:37,30.5,44.4,30.9,29.9,51.0,31.06
10/07/2020,20:38,30.4,44.7,30.81,29.9,51.0,31.06
10/07/2020,20:45,31.3,43.0,31.79,29.89,51.0,31.04
10/07/2020,20:50,30.9,44.7,31.5,29.89,51.0,31.04
10/07/2020,21:03,30.9,44.7,31.5,29.48,51.0,30.44
10/07/2020,21:03,30.6,45.6,31.22,29.48,51.0,30.44
10/07/2020,21:05,30.5,46.7,31.25,29.54,51.0,30.53
10/07/2020,21:10,30.6,47.3,31.5,29.54,51.0,30.53
10/07/2020,21:55,30.4,48.0,31.32,28.26,58.0,29.6
10/07/2020,22:00,30.4,48.0,31.32,27.67,61.0,29.07
10/07/2020,22:05,30.3,49.1,31.35,27.67,61.0,29.07
10/07/2020,22:10,30.4,48.7,31.43,27.38,61.0,28.66
10/07/2020,22:15,30.4,48.7,31.43,27.38,61.0,28.66
10/07/2020,22:20,30.3,48.9,31.32,27.38,61.0,28.66
10/07/2020,22:25,30.4,49.2,31.52,27.3,61.0,28.55
10/07/2020,22:30,30.4,49.2,31.52,27.3,61.0,28.55
10/07/2020,22:35,30.4,49.2,31.52,26.93,65.0,28.35
10/07/2020,22:40,30.5,48.8,31.6,26.93,65.0,28.35
10/07/2020,22:45,30.4,49.1,31.5,26.93,65.0,28.35
10/07/2020,22:50,30.2,49.4,31.25,26.84,65.0,28.22
10/07/2020,22:55,30.2,49.4,31.25,26.84,65.0,28.22
10/07/2020,23:00,30.3,49.5,31.42,26.83,61.0,27.94
10/07/2020,23:05,30.2,49.7,31.3,26.83,61.0,27.94
10/07/2020,23:10,30.2,49.7,31.3,27.05,61.0,28.22
10/07/2020,23:15,30.3,49.3,31.38,27.05,61.0,28.22
10/07/2020,23:20,30.3,49.7,31.45,27.05,61.0,28.22
10/07/2020,23:25,30.4,49.6,31.59,26.74,61.0,27.82
10/07/2020,23:30,30.4,49.9,31.64,26.74,61.0,27.82
10/07/2020,23:35,30.4,49.9,31.64,26.23,65.0,27.4
10/07/2020,23:40,30.1,49.6,31.13,26.23,65.0,27.4
10/07/2020,23:45,30.0,50.1,31.06,26.23,65.0,27.4
10/07/2020,23:50,30.0,50.1,31.06,26.42,65.0,27.65
10/07/2020,23:55,29.9,51.2,31.09,26.42,65.0,27.65
11/07/2020,00:00,29.4,47.7,29.89,25.76,69.0,26.93
11/07/2020,00:05,28.5,42.8,28.35,25.76,69.0,26.93
11/07/2020,00:10,28.0,41.2,27.75,24.68,69.0,25.0
11/07/2020,00:15,28.0,41.2,27.75,24.68,69.0,25.0
11/07/2020,00:20,27.8,40.2,27.51,24.68,69.0,25.0
11/07/2020,00:25,27.1,38.1,26.84,24.56,69.0,24.87
11/07/2020,00:30,26.9,37.7,26.68,24.56,69.0,24.87
11/07/2020,00:35,26.9,37.7,26.68,24.13,69.0,24.4
11/07/2020,00:40,26.7,37.2,26.53,24.13,69.0,24.4
11/07/2020,00:45,26.3,36.3,25.93,24.13,69.0,24.4
11/07/2020,00:50,26.3,36.3,25.93,24.12,69.0,24.39
11/07/2020,00:55,26.0,35.7,25.59,24.12,69.0,24.39
11/07/2020,01:00,25.9,35.7,25.48,24.12,69.0,24.39
11/07/2020,01:05,25.7,35.2,25.24,24.12,69.0,24.39
11/07/2020,01:10,25.5,34.7,25.01,24.11,69.0,24.38
11/07/2020,01:15,25.4,34.6,24.9,24.11,69.0,24.38
11/07/2020,01:20,25.3,34.7,24.79,24.11,69.0,24.38
11/07/2020,01:25,25.1,34.7,24.57,24.12,69.0,24.39
