day,hour,roomTemperature,roomHumidity,roomHumidex,roomHeatIndex,outTemperature,outHumidity,outHumidex,outHeatIndex,personCount,humidexTarget
27/07/2020,15:10,28.3,48.4,33.16,28.64,30.64,51.0,37.68,32.22,1.0,28.25
27/07/2020,15:12,28.2,47.4,32.78,28.44,30.64,51.0,37.68,32.22,1.0,28.25
27/07/2020,15:14,28.0,46.3,32.22,28.13,30.64,51.0,37.68,32.22,1.0,28.25
27/07/2020,15:16,27.9,45.6,31.92,27.98,30.64,51.0,37.68,32.22,1.0,28.25
27/07/2020,15:18,27.9,45.6,31.92,1.0,30.64,51.0,37.68,32.22,1.0,28.25
27/07/2020,15:33,27.1,41.1,29.76,26.99,30.53,45.0,37.66,31.03,0.0,28.25
27/07/2020,15:37,27.2,41.9,30.07,27.12,30.53,45.0,35.99,31.03,1.0,28.25
27/07/2020,15:39,27.4,46.2,31.26,27.55,30.53,45.0,35.99,31.03,1.0,28.25
27/07/2020,15:41,28.6,75.5,39.71,32.82,30.53,45.0,35.99,31.03,1.0,28.25
27/07/2020,15:43,28.7,39.7,31.86,28.28,30.53,45.0,35.99,31.03,1.0,28.25
27/07/2020,15:45,28.7,39.7,31.86,1.0,30.53,45.0,35.99,31.03,1.0,28.25
27/07/2020,15:47,27.3,40.6,29.96,27.12,30.83,45.0,35.99,31.45,1.0,28.25
27/07/2020,15:49,27.1,40.7,29.68,26.97,30.83,45.0,36.48,31.45,0.0,28.25
27/07/2020,15:51,27.1,40.7,29.68,1.0,30.83,45.0,36.48,31.45,1.0,28.25
27/07/2020,15:53,27.3,44.6,30.78,27.36,30.83,45.0,36.48,31.45,1.0,28.25
27/07/2020,15:55,27.3,44.6,30.78,1.0,30.83,45.0,36.48,31.45,1.0,28.25
27/07/2020,15:57,27.0,41.7,29.73,26.95,30.9,45.0,36.48,31.55,1.0,28.25
27/07/2020,15:59,27.0,41.7,29.73,1.0,30.9,45.0,36.6,31.55,1.0,28.25
27/07/2020,16:01,26.7,41.2,29.19,1.0,30.9,45.0,36.6,31.55,1.0,28.25
27/07/2020,16:03,26.7,41.1,29.17,1.0,30.9,45.0,36.6,31.55,1.0,28.25
27/07/2020,16:05,26.4,40.3,28.57,26.46,30.9,45.0,36.6,31.55,1.0,28.25
27/07/2020,16:07,26.4,40.3,28.57,1.0,30.9,45.0,36.6,31.55,1.0,28.25
27/07/2020,16:09,26.4,39.9,28.49,1.0,31.47,45.0,36.6,32.4,1.0,28.25
27/07/2020,16:11,26.3,39.6,28.29,26.02,31.47,45.0,37.55,32.4,1.0,28.25
27/07/2020,16:13,26.3,39.6,28.29,0.0,31.47,45.0,37.55,32.4,0.0,28.25
27/07/2020,16:15,26.2,40.1,28.24,25.92,31.47,45.0,37.55,32.4,0.0,28.25
27/07/2020,16:17,26.6,40.4,28.88,26.6,31.47,45.0,37.55,32.4,0.0,28.25
27/07/2020,16:19,26.9,41.5,29.54,26.86,31.09,45.0,37.55,31.83,1.0,28.25
27/07/2020,16:21,27.1,41.7,29.88,27.03,31.09,45.0,36.91,31.83,1.0,28.25
27/07/2020,16:23,27.3,42.9,30.43,27.25,31.09,45.0,36.91,31.83,1.0,28.25
27/07/2020,16:25,26.9,40.6,29.37,26.82,31.09,45.0,36.91,31.83,1.0,28.25
27/07/2020,16:27,26.7,40.5,29.05,26.67,31.09,45.0,36.91,31.83,1.0,28.25
27/07/2020,16:29,26.7,40.5,29.05,1.0,31.09,45.0,36.91,31.83,1.0,28.25
27/07/2020,16:32,26.3,40.4,28.45,0.0,31.36,48.0,36.91,32.81,1.0,28.25
27/07/2020,16:34,26.2,40.6,28.34,1.0,31.36,48.0,38.15,32.81,1.0,28.25
27/07/2020,16:36,26.9,41.8,29.6,26.88,31.36,48.0,38.15,32.81,1.0,28.25
27/07/2020,16:38,26.7,40.5,29.05,26.67,31.36,48.0,38.15,32.81,1.0,28.25
27/07/2020,16:40,26.4,39.9,28.49,26.45,31.36,48.0,38.15,32.81,1.0,28.25
27/07/2020,16:42,26.4,39.9,28.49,1.0,31.45,48.0,38.15,32.96,1.0,28.25
27/07/2020,16:44,26.1,41.5,28.36,25.85,31.45,48.0,38.3,32.96,1.0,28.25
27/07/2020,16:46,26.0,39.4,27.82,25.68,31.45,48.0,38.3,32.96,1.0,28.25
27/07/2020,16:48,26.0,39.1,27.76,25.68,31.45,48.0,38.3,32.96,1.0,28.25
27/07/2020,16:50,26.0,39.1,27.76,1.0,31.45,48.0,38.3,32.96,1.0,28.25
27/07/2020,16:52,25.8,38.8,27.42,25.45,31.45,48.0,38.3,32.96,1.0,28.25
27/07/2020,16:54,25.8,38.8,27.42,25.45,31.45,48.0,38.3,32.96,1.0,28.25
27/07/2020,16:56,25.8,38.8,27.42,25.45,31.45,48.0,38.3,32.96,1.0,28.25
