day,hour,roomTemperature,roomHumidity,roomHeatIndex,outTemperature,outHumidity,outHeatIndex
10/07/2020,19:31,30.7,44.5,31.33,30.91,38.0,30.52
10/07/2020,19:31,30.7,44.5,31.33,30.91,38.0,30.52
10/07/2020,19:31,30.7,44.5,31.19,30.91,38.0,30.52
10/07/2020,19:31,30.8,44.5,31.19,30.91,38.0,30.52
10/07/2020,19:31,30.8,42.7,31.19,30.91,38.0,30.52
10/07/2020,19:31,30.8,42.7,31.05,30.91,38.0,30.52
10/07/2020,19:31,30.7,42.7,31.05,30.91,38.0,30.52
10/07/2020,19:31,30.7,42.7,31.05,30.91,38.0,30.52
10/07/2020,19:31,30.7,42.7,30.91,30.91,38.0,30.52
10/07/2020,19:31,30.8,42.7,30.91,30.91,38.0,30.52
10/07/2020,19:31,30.8,42.2,30.91,30.91,38.0,30.52
10/07/2020,19:31,30.8,42.2,30.97,30.91,38.0,30.52
10/07/2020,19:31,30.7,42.2,30.97,30.91,38.0,30.52
10/07/2020,19:31,30.7,41.8,30.97,30.91,38.0,30.52
10/07/2020,19:31,30.7,41.8,30.78,30.91,38.0,30.52
10/07/2020,19:31,30.7,41.8,30.78,30.91,38.0,30.52
10/07/2020,19:31,30.7,42.4,30.78,30.91,38.0,30.52
10/07/2020,19:31,30.7,42.4,30.87,30.91,38.0,30.52
10/07/2020,19:32,30.7,42.4,30.87,30.91,38.0,30.52
10/07/2020,19:32,30.7,42.9,30.87,30.91,38.0,30.52
10/07/2020,19:32,30.7,42.9,30.94,30.91,38.0,30.52
10/07/2020,19:32,30.7,42.9,30.94,30.91,38.0,30.52
10/07/2020,19:32,30.7,49.4,30.94,30.91,38.0,30.52
10/07/2020,19:32,30.7,49.4,32.02,30.91,38.0,30.52
10/07/2020,19:32,30.8,49.4,32.02,30.91,38.0,30.52
10/07/2020,19:32,30.8,49.6,32.02,30.91,38.0,30.52
10/07/2020,19:32,30.8,49.6,32.21,30.91,38.0,30.52
10/07/2020,19:32,30.7,49.6,32.21,30.91,38.0,30.52
10/07/2020,19:32,30.7,46.4,32.21,30.91,38.0,30.52
10/07/2020,19:32,30.7,46.4,31.5,30.91,38.0,30.52
10/07/2020,19:32,30.7,46.4,31.5,30.91,38.0,30.52
10/07/2020,19:32,30.7,44.6,31.5,30.91,38.0,30.52
10/07/2020,19:32,30.7,44.6,31.2,30.91,38.0,30.52
10/07/2020,19:32,30.7,44.6,31.2,30.91,38.0,30.52
10/07/2020,19:32,30.7,44.1,31.2,30.91,38.0,30.52
10/07/2020,19:32,30.7,44.1,31.13,30.91,38.0,30.52
10/07/2020,19:32,30.8,44.1,31.13,30.91,38.0,30.52
10/07/2020,19:32,30.8,43.1,31.13,30.91,38.0,30.52
10/07/2020,19:32,30.8,43.1,31.11,30.91,38.0,30.52
10/07/2020,19:32,30.7,43.1,31.11,30.91,38.0,30.52
10/07/2020,19:32,30.7,42.4,31.11,30.91,38.0,30.52
10/07/2020,19:32,30.7,42.4,30.87,30.91,38.0,30.52
10/07/2020,19:32,30.7,42.4,30.87,30.91,38.0,30.52
10/07/2020,19:32,30.7,42.4,30.87,30.91,38.0,30.52
10/07/2020,19:32,30.7,42.4,30.87,30.91,38.0,30.52
10/07/2020,19:32,30.7,42.4,30.87,30.91,38.0,30.52
10/07/2020,19:32,30.7,42.8,30.87,30.91,38.0,30.52
10/07/2020,19:32,30.7,42.8,30.93,30.91,38.0,30.52
10/07/2020,19:32,30.8,42.8,30.93,30.91,38.0,30.52
10/07/2020,19:32,30.8,42.5,30.93,30.91,38.0,30.52
10/07/2020,19:32,30.8,42.5,31.02,30.91,38.0,30.52
